PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16
14738910.7011676,-7181888.1193936,-6525463.82027705,1575147.41791497,-1321402.99422932,2223351.22498461,2918781.7322189,-1393517.89757212,-118234.242109576,-1800663.39767305,72941.6670526015,-4748.14919217236,-60279.115270091,310042.151570658,24037.6606075206,-309881.546668705
13577954.3800478,-11925124.4232393,-8296778.11361558,-1808115.73394767,91897.7396477362,3207367.61574401,1768579.00556,1034999.75132309,83341.2450980501,780376.221465169,1014399.78204432,91269.4991400942,-1159493.44525356,585991.397541425,1103761.44160367,284411.519058063
-3127623.50720895,409252.975760504,-1516204.35191443,-1588507.51491701,-1070206.61605809,-3896760.03048354,-654013.741196404,944772.496754712,2607256.16309814,-720399.960688462,-635592.610999295,51220.9203706036,-1184125.26842126,-160533.975692604,-266272.324238824,-18628.3430528197
17160675.1432664,-13618014.1276624,-9149186.85034672,-347705.501314782,-1301890.32702963,813871.072835922,415595.667030788,2865229.68963709,597292.053753219,-697190.983016638,4413.81797203377,539458.515089862,8204.32354292572,-1037736.42732507,455625.708919984,-274819.794086172
10708373.0039306,-11365178.1572404,-7481864.00045567,-35660.8327453896,-373920.567544648,53719.875050233,-793281.490271092,2399150.38950689,471130.187670306,-94608.1336002541,-474596.849195143,364952.033339936,837691.710025561,-178632.957148637,45480.4003705198,-3217.89326056522
8368652.78739145,-10762961.5028487,-6533253.18606871,-213615.035598516,135076.643037032,184628.060455475,-855594.844824135,2134252.47501786,221526.057182574,-265831.412258999,-517544.908231125,277460.560344903,477725.343465165,-643216.451431875,-187265.567095317,75469.536086558
-22096998.5302893,-3318961.42281408,-659565.77383453,-651881.771125758,1108388.7356174,638313.936871183,-68965.9886552847,870636.173241884,-284928.652328347,-547666.4176981,1295956.98937495,-56163.7295623442,-238605.230061717,-45764.6150497757,-268527.679019511,-107269.748522917
-15513376.4488908,-4833092.58175502,-1932388.31403342,-621991.344477414,463099.688536592,898467.531275733,539475.292653508,801956.364819022,-220450.196221703,-717903.120584422,865410.994322046,-162745.348544353,136619.551708165,269692.497118806,-99912.4396274899,-57926.8022896177
22900780.2645542,-13252743.7993784,-13337321.7539753,-3185362.92055461,2805628.292579,4473614.62287536,2976021.8428329,1651626.40010191,144874.787470223,834749.17256357,1870901.66247065,573110.82841088,-3041156.92647161,-420807.655451329,1198560.27405111,-222708.729056165
-6263889.0131437,887558.158135551,-1235286.14774157,-1831785.83481747,-431567.528204367,-3660188.09909282,-703466.333706687,1264903.07388367,2732322.30563363,-1104897.34964726,-125510.572179803,702876.693925314,-1611303.19964104,-247828.654395995,-572693.403029058,-204905.426095781
-19414768.4398355,-2983120.39779299,-511512.187700505,-1084992.83018302,1452599.64104553,-206220.370608909,-967229.483504085,288000.46837751,71131.3397845425,-232267.134196534,824882.643786757,-53176.7012179301,-57697.5495794806,-87320.7952745953,-466229.479184024,-227727.670242045
10978981.6125681,-6925372.82360846,-3220799.13616406,-2723465.84157583,808391.237652622,-3982124.0526416,-3583298.77213278,-1090768.43903914,1349178.50171291,1097363.22010681,-2592758.66832714,-837673.140872737,1885942.44578021,-189683.583151585,-1630899.41030079,-280006.458607122
5613559.2065575,-5185442.18776042,-1585360.26011106,-1428062.52187495,497018.938460497,-3967756.14745432,-2449035.85679211,-992882.122976613,1696878.46219042,6914.7331219688,-2368763.24684313,-1275250.54608501,2202208.99215341,-118415.097995257,-1114335.91506093,-24987.7757558375
13578773.6295919,-9555610.49357102,-7962410.90797221,-1599039.86220351,1630623.59258108,3735110.44938341,2935542.47612931,890461.700095555,362557.603057578,-859721.598237713,1045750.43540958,555615.861806068,-1420792.78281934,235713.465134393,-359490.9275164,110259.180169963
3323003.16526583,3727063.05415721,-2157799.21306998,-6288091.37838527,-1670622.92710718,-6393545.24015089,-2119740.68601007,3051004.40910848,2481137.58466141,-1158064.44669432,65618.074167199,2506659.4237059,-2775060.20188395,-1085416.7629675,-1256977.90076211,-978099.00979687
3915602.46265088,-7728738.51289723,-2030567.42063987,1777903.23800607,2131884.1829733,-3179368.16662428,-2777090.3720505,-2018850.7801357,493855.972006144,1129733.75858504,-1819248.73981012,-1564738.799666,2223148.58437043,-233926.531930208,-790113.585980009,117918.567737805
9673688.11994605,-9491100.88662871,-6215512.38018689,2197705.44916497,1749270.68297731,-4575875.84608503,-3670048.02031212,446484.325322042,240563.980948139,1599889.40962336,-1162312.61738745,-1711936.59688261,2027945.1400535,856472.795604025,-127252.891136728,148297.677182636
14154782.4394045,-11960746.1281969,-9978875.78714132,1677780.94293225,538586.696923263,-2476354.71101279,-1200518.88425036,2737337.99720458,628037.783783608,447432.228659921,889794.795972928,-1393184.22294406,1386614.56095899,1384497.75716576,41278.5483426261,-78426.0914200083
16505848.8084601,-12577569.960691,-10313572.0345973,-443103.211193738,-252570.180281949,-1904107.28488698,178303.503445175,2303625.07041655,566142.727421951,266853.200118871,163244.31004421,-546378.392548265,1802057.01652847,1053311.2551905,355433.348619879,87720.1784727831
7847583.27858234,-9430125.30151914,-5888029.68042389,397719.137952207,1735215.78358966,-2618369.64409337,-1967864.42441128,313392.37843963,-13881.025800195,1201843.70077698,-1276096.52705382,-899733.954267232,2210402.49928676,783102.23533809,-137159.055576044,-279850.450465491
16999424.0108146,-13150940.1749671,-12270902.7376668,-71008.7924058486,633020.170066298,-1305125.65274478,-89513.0418920674,3228943.63823852,331313.504728416,445689.876112739,794637.047012594,-455768.912137877,1285055.74715496,1251371.34632416,29173.8386337555,-137641.520282892
10336381.7035505,-11222198.5713538,-6948779.85463531,-81098.0174413204,1719243.79940397,-271658.41332757,-183411.024768216,559723.802387921,234858.639536428,433891.231232651,-377431.812135951,-736427.868275215,1378569.81708036,-129999.668491044,-905945.005711203,-671795.988621164
12799826.2365089,-11893133.7544,-8831215.24572661,622627.862748688,1147981.32303671,-2392741.35052504,-1355801.14533452,1543781.45076262,436354.059738263,979804.777547799,7880.82523717349,-1113604.82286023,1137837.6307978,791292.279304652,-40496.371053659,-145333.900969126
