PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16
-8473460.7028322,-2429947.63584782,843777.514299211,2234162.57817138,1230682.20749364,445861.311833868,2108911.37654727,-1903101.18463542,1135670.91415805,-497619.050586958,1317853.67598067,-882449.35682662,1053695.31864927,-181631.18265115,330775.288150064,-151632.396076202
-22856278.9614354,-5645422.70901689,869501.560939016,418726.859966713,1038663.17780504,-172537.640242129,1291201.13778535,-535523.369272794,-368079.362894339,-634412.83689593,-399479.196134247,-9291.88583400774,-150205.516526281,-9504.2749817924,4501.37664641385,-39606.1180568668
14722657.4325106,6696062.68777996,6487626.24903698,-13057492.6127818,-658013.215003078,4627914.71190295,3628843.79871618,-2553045.83772787,-568502.166359543,-607823.644926959,-1254573.46053481,862899.632420643,-430865.448945888,-220103.835841394,495598.505312319,-28380.0483839344
-10982581.7317043,-5909042.39265928,2938670.24748793,645576.023558894,2190266.89224771,1136776.00570619,326317.644177634,-847148.778761847,-449459.663010536,262618.01109403,-546067.968788786,-349836.906524046,-423195.879683175,-413032.184567402,297962.978218236,-132443.028963347
25335018.3067873,-13473715.9106313,6388199.53268196,1109844.65928961,-801918.025485095,173720.930032516,595001.285580641,233990.476159397,-2330025.35763911,-1733330.74508303,-948062.151842678,211385.172538544,329837.931169399,-221619.268945162,756657.21101782,41433.8683455815
22797216.2547757,-11869788.5435886,5978198.34607236,187264.38331988,605811.122177242,1284969.3327588,812995.385739824,154493.013558875,-1495901.68743729,-1275108.30987782,-763439.026284821,-13529.6470109474,737202.493071408,-255594.699591131,17275.9624316182,-316763.589570147
-8605940.0852052,-1693007.07222515,932550.301876373,2621134.52974965,1194192.89426669,355367.754757539,2233049.24684785,-2576658.2868353,958648.711917947,-266145.55396249,873583.050844118,-1304483.37368026,1045755.20535139,-283779.804636041,374416.649497498,185700.481331044
-15167118.1192892,-3730016.70624945,678197.493461623,1800663.06936678,1359483.4068562,94556.413258791,1306507.68587353,-1268707.70631985,634494.746622988,-232067.880918241,-30345.1298863714,-126088.220390639,256522.101305215,-330936.724001156,343657.536145914,-169909.573725672
14048827.0037182,-5873286.14386725,3262540.39015942,2682545.40568103,-3539745.26766745,-3488773.52614489,490409.709000588,-600571.122078302,267435.250756617,1084007.1041929,806466.857834288,-592837.898782799,-5304.69078117402,84465.3504526252,246261.812336199,-59590.9940582886
18764515.5536249,-10399930.3366584,6000713.64141123,1776839.35194671,3865273.06817482,3089970.35456851,513855.378345835,1086815.8542232,-86821.3740193009,-1580562.81107227,-455162.561929735,-239116.134518278,685071.55164784,639787.992890101,611009.924729577,133272.048780246
-23801158.4095274,-5279382.43888851,750359.179492148,445895.163129369,1151259.65597676,-118217.556503732,1345211.36795176,-623788.33468399,-354965.292334547,-555167.141786108,-453523.221473234,-28253.7629175473,-139264.260962602,-101068.232602324,96869.738796104,-13614.8286103624
-1547466.70387092,-4298353.98819101,1174877.8694417,1892357.15302785,2218312.18378795,707930.106143094,-651051.419027326,279058.051842974,609705.629221151,-202460.594614943,1411648.97795627,337862.793615467,-704482.633991906,-351044.612507954,106875.184638969,-90202.0858009006
31398862.6219996,-11582070.2337321,6767974.58556634,818722.437366957,991212.609442262,3132336.15897208,350932.430708938,1709805.69454711,1046655.20623153,-1692869.08613305,44517.9084714491,-25460.831457694,46546.925524514,-153451.921085885,338640.598177867,-209411.522830436
34857020.4546056,-16690387.2765644,6037924.79869182,1222599.40737331,-7510085.48583075,-2589018.072888,1527435.69729677,-353961.720609281,-1673052.28886589,-1639368.91626094,-2187343.31285235,-401344.147615332,772955.609039304,-30373.6531821434,-113038.572441802,-888112.235091407
5727753.63057793,-6763097.80602931,5369656.76504348,1834008.82979789,939180.826054633,1888766.3554986,295109.901625908,-2451629.2714889,-686484.25392481,1065358.57489899,-1055763.85540573,-1303805.31488524,-31898.0446328116,-739989.390115483,761346.057625034,266478.760275904
15628678.755489,-5071966.87569374,3269850.15972439,3097439.17605658,-3599371.15657077,-3324555.47282936,1255177.91877498,-790980.262206529,643757.18687217,1023546.1557079,972290.679592403,-775328.457067798,60128.8125167971,179953.023874955,330960.298136385,-30039.8316792316
-9390452.66953831,-2363357.95712475,1075369.16212755,2575866.33133758,1386398.15180308,222396.761981227,1879069.42636097,-1345887.30355222,505787.25426714,-564876.164816206,923519.274470034,-404810.529282548,989999.818678143,5360.65346188345,267390.213862513,-72089.4756394717
23573114.4131755,-15039728.8410723,5578250.66987459,958753.036981777,-6283096.75536944,-2281490.59711601,1227066.67429424,-1144329.56085949,-1526161.76155898,-1015683.4098739,-1951058.54577526,-922634.58481111,50837.383789311,87664.6375493333,-62053.9620348411,-559737.065841719
25592766.1597431,-12399629.8712469,5539776.66002198,1102892.33101456,-4614518.46006407,-2496283.48076137,-582029.982897019,-774585.653577263,-1992949.52955625,-446901.440961822,183111.081793152,-254324.39286588,-662089.362662071,-10995.3902619345,423112.097675762,-631308.078413894
14838746.1714808,-8439891.80324274,3360096.44847192,2209567.06047954,-3332899.16410007,-2861703.0336401,540116.642151,-39485.4765889029,-339805.454958863,-288562.361719084,914878.424255196,-604248.088799301,109546.405563206,-22606.5036390342,29086.7793209339,-475490.256176058
-10931915.8516189,-2593478.80996573,121603.243441042,2690207.42069531,1070072.45996102,27754.8991875912,821113.624404315,-1426700.20394037,1162496.60722835,114098.921051297,379661.066401612,92432.8816842683,208081.268453825,-272777.636289565,-25929.7178499172,-427985.433915042
-23077166.4999141,-5565954.67554714,805240.111264284,373319.904723571,1037548.30464422,-104232.115023657,1278214.9414589,-615237.036988899,-412647.004283476,-535883.809044983,-375347.199659376,15013.3913444742,-195149.294510829,-32848.0633971882,14335.9798535887,-31615.9902789087
-19867501.4569666,-5313029.68131494,952068.286221385,625099.769225074,1368603.56954951,426212.819713117,1260264.45358294,-601630.205673926,-187607.739378186,-329838.894702661,-17313.6744516145,-129216.402793064,-227516.147151788,-138625.084582445,3496.89112251572,2271.55017527375
-13988034.2595378,-7133351.53075899,1505369.05303347,794160.668417496,-712461.267409747,-664524.865716605,1234764.69167671,-676358.446936088,-642459.875924023,-620812.71605766,-179059.403540926,185139.516274669,-273854.051090409,15422.1906666313,25066.6425792512,-65907.351197524
2738932.468983,-5115751.72668722,4060753.25813309,1613691.01004369,3134942.69042476,1309041.35871435,-534183.11758643,-457585.297656856,-20192.6104172364,400515.880107554,825852.24655021,-548291.825480451,-258675.111499223,-224922.78478738,205820.140812563,15702.0950604473
5849230.37121458,-7514654.86794359,2201625.47353954,2496983.22233993,973639.550473,1185530.81416247,2404164.40946535,-369835.580760915,-380438.430205377,-1792391.40176386,1607486.78767877,-215216.989421462,1262805.26525703,1536867.0270476,-332367.541992232,-236556.216319618
-10754464.6754292,-2878444.33647265,63411.6063251614,2478997.98797916,1169541.87548229,-223684.969534863,578576.098808129,-1131747.69774947,963407.871223373,-92811.1451622202,569317.004254054,239301.399679844,-123827.83366814,-119855.012025105,18521.5846561069,-389650.192806805
23071844.4189983,-11524724.1540434,5151179.1277986,-191685.824945773,7960563.14470134,4326540.8582726,-1114779.86181316,3936013.09413916,-1152384.25852807,-2138093.88495873,1660458.43986599,133537.891142067,769006.227336077,1450669.86228699,-577250.150813227,200468.821329127
19868730.1346501,-9850550.75099884,6111291.13381942,867663.828509232,3481640.59438373,2504862.84789812,365982.25687161,555759.544664441,168339.292321756,-2591930.53826544,-933664.960028511,-638605.754954448,1060627.5033809,-278352.154978376,1176359.91689573,92840.0675872883
12250979.1730501,-6817050.44409483,5876699.3761717,1479401.25218639,3847680.15464377,2527047.98065255,-1324692.33452626,455529.429075029,-381386.99639409,333589.406466885,446491.472455397,-697527.039148568,-299543.740306402,-151388.465984607,389448.687466045,194150.14723079
-21052652.6070313,-4658626.42136385,689334.477780569,995025.249750436,1037422.58120906,-96354.2626555176,1139966.46103362,-847955.226393476,-79820.3830321502,-465324.967824328,-270329.330679129,-4280.82866692407,-23143.7710813283,-51252.29536652,-15796.905220726,-102459.069508722
-9050516.93063915,-4573780.38420864,1823644.11569056,1953040.40800594,852893.267059647,724955.009938712,1304224.70850552,-1736821.97211876,228783.414896493,94034.6648291166,-24618.6586478306,-807262.754249513,324584.808833978,-330317.702856011,159573.132392544,28631.0933481337
-4741688.83361035,1598106.04180382,3310784.74393246,-7360312.54804995,-299446.361673844,2256031.72253443,2599159.84797379,-1881616.95930042,-243862.908687281,-441313.425542158,-716804.591252883,647659.188888147,-213877.003628747,-120790.829065832,82502.7156359862,-192533.170355311
10896756.238682,-5948524.02790121,5131096.11296233,714865.331819706,3659876.86753277,3052730.12451291,-1597750.38059198,1064794.9328058,132609.602371841,2533851.34574137,1596317.52722774,-503874.467999541,-924574.959964838,310852.396487371,-566895.890780297,-217830.352009378
-24506860.8487139,-5434164.24778721,781533.821983956,360468.648816828,1117620.1079839,-117917.058755503,1354356.1205763,-575253.687277794,-430452.673665437,-573355.429729721,-479093.571632975,-15126.3930610627,-170546.199791728,-87120.1109214529,54889.0223202117,-5889.83882608386
11429955.9355709,-7659931.80208986,3398026.01560013,1378063.48576209,-2816973.10117816,-3441996.12871509,204896.942092441,-708538.364724777,-619615.516275103,-233598.003683813,576210.036345737,-670064.745841575,-142874.260810406,189173.163652145,-103045.216535387,-307151.898788483
-20708346.2339741,-5312450.16348682,1504984.88056676,654323.28503601,1570984.04580755,392686.177217337,977832.036106847,-652596.777058601,-248848.957428212,-101042.672415082,-536195.427425067,-225251.023329118,-154775.565133489,-52046.2061849133,98885.7465740708,78755.5360995946
8466394.74152897,-6080890.2727918,5388560.90427725,2456805.37669362,3569811.50942555,2748100.49266759,-944679.792798483,1158183.76593268,406602.66985531,773854.361308355,473069.785779453,-330749.357860163,-185233.591823901,-355197.258027757,186263.379860647,177946.746567879
-3547259.109878,-2902995.17930655,2151695.20640395,1724586.19096799,1443298.90805656,1452524.81158265,1925378.4756947,-2118787.20082785,998214.816715934,-157500.981268391,1119175.92795155,-1335393.81005191,983798.749077266,-102651.109154178,636813.05760512,-185369.520838797
3894707.14460939,-4673755.51771366,3349642.77018647,1161942.88706334,3048318.04254284,1895641.54283263,-1314089.01945224,816059.266430134,122687.337617918,1407291.47658198,957794.435869663,-533503.10977844,-160567.295488813,73958.6878926299,-462088.508065092,-161994.161383997
19981234.4319419,-11315521.6061058,5418621.52447529,508800.576527109,1521406.54889493,1520354.3204471,178506.226917844,189444.345147564,-847436.606889381,-1811937.94726099,-558022.998883958,-138900.733494778,668417.261002585,371025.998870062,310336.353449974,172067.190491428
-2464105.36379778,-6882925.46676573,3650111.42013443,449349.108077947,2133188.43072221,1307225.15343584,-156362.484199556,-358273.22141599,-807385.683748657,495993.063662395,-129460.01314294,-675426.424547977,-535670.526482174,-258721.727077932,210537.731488298,65610.131351458
24647378.4294678,-11786092.7907292,5278887.18752524,1397593.70275296,-1759719.81516644,1815660.81155587,-465353.386633043,-806994.997862381,-1259375.04567916,230048.812921681,-485799.302009546,63159.4127510133,-605472.009612489,375152.546513835,-888509.021388033,254859.050178111
