PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16
2.89129093289375e-06,1.76415924199613e-06,5.15898889943711e-06,3.38034608247786e-06,6.16730874893487e-06,7.77119303136422e-06,4.07759748721128e-06,1.13677028567817e-06,1.25262886285782e-07,1.13677028567817e-06,4.07759748721128e-06,7.77119303136422e-06,6.16730874893487e-06,3.38034608247786e-06,5.15898889943711e-06,1.76415924199613e-06
11601133451.6652,15429363835.7295,10440897489.8648,9511078216.17037,11605889802.3197,12599214994.2617,17664595471.9138,17415264832.5155,15288592043.7927,14320967225.1184,14205884189.6939,16174525109.6109,17323442372.2877,13772439733.4213,13041573920.1884,8995848596.71475
5052678220.05511,5512547229.71627,5388336435.5549,9143467137.65313,8569007098.20077,9635109052.14108,8132033250.62452,5464307662.29305,3460584616.07147,927857780.030303,2127116332.92648,3455286293.65624,5501520261.69908,5881056199.18147,3849893817.49914,1852691799.81058
5053234550.18851,6521807649.60461,5713490168.67614,5898990525.89396,1441508318.31364,4105362365.34212,3891265154.59225,11904714876.4789,12321375808.7824,11079144869.4334,8589537821.86208,4143330921.44341,3657217980.42006,6218618008.64175,5161329681.3176,7848594116.1343
3683009397.15813,6474021150.82181,4913327751.18303,4472835275.02635,4447301697.2394,2516069905.02389,3758593008.77701,5627682831.06165,5088813869.58444,8532800011.85812,5801277897.60267,8392269209.34307,4266740700.59754,6369854223.79981,4321584862.14959,6030776719.22748
1235707139.13033,757118250.968162,1786524235.11704,1500173090.59664,1536629818.67839,1736274341.45502,1587226855.37988,959838249.888789,1566766593.29189,943940437.540075,1717257253.11158,4052371047.36237,3842638764.55723,3240846131.71912,1716660208.20555,1925412145.69456
2664700693.10266,910683353.567696,2128920856.29604,2371895270.25562,2312588666.08613,2966382058.75936,4496834166.07347,2398303987.79114,4368536698.02741,4106928990.6439,4180185192.79109,3195631487.01785,3270044687.73491,5883576724.88653,4090348819.05361,4334528182.83366
1926960667.83102,771289159.648949,897177276.244586,582780054.132447,1832720702.368,952805251.493268,1898123419.84743,580923164.32955,3100029928.65439,2973052635.18877,540216631.84805,2477994247.79131,3198431568.11749,2340118396.89755,1642620341.41327,2013060700.86877
1497727560.36327,898567208.175068,547037974.793184,1227443598.24254,2373578732.41554,2233095749.74477,1377236620.23009,3880175025.30349,4850316672.67397,3825102648.57305,4915918545.13857,5409054130.85886,4507039979.83664,2298806227.56572,1359810631.06843,1239962315.15488
1619623896.80666,3289252289.77636,1337407624.84841,2223078908.50838,1933927985.82588,1641905289.58957,1848356177.77894,2170854605.30563,2982194933.97269,2344474220.89771,1250274368.72646,1675452519.96179,2515685386.05649,2529048318.78491,1914789099.38067,2410627736.71867
2431493232.75028,3408535561.15578,2418461101.40194,2291841115.35227,1448188156.35018,1289183845.12897,2887642403.57461,777182591.778606,1614113497.4472,2745526406.55953,2117274425.36722,1047287995.01226,1784410233.17416,935368299.63276,1404642519.59552,2307506209.3287
3568870719.09434,3684552325.53547,3277745220.622,1535372808.75325,577878885.041752,223767809.858691,1315516519.64318,1388606393.95347,2839675308.27482,3274338118.94721,3705573444.83194,1845916373.63221,2383184497.43645,3817348240.29584,2675712464.83778,3782750597.60999
1580169185.40681,952891790.562963,1689119135.85508,350727552.845317,1373194231.14884,1628215171.94607,837947880.511899,887338896.413041,1676029012.6202,836992562.260478,1000757329.41844,518798025.89588,1078575081.74492,1862486636.27903,1791364364.71278,977623684.149617
1864918173.66253,1899231769.78236,523916602.055137,1585571846.43997,1115842175.95327,1303729626.45394,1436833577.1491,1708282528.74852,2093672903.2009,1818533528.28404,1938543292.97432,1941966464.51286,3009781483.58028,2461661302.66249,1906284242.62677,1323375379.03668
2175900805.4365,2249791179.29241,3614028993.52947,1963817906.89257,2268291052.07493,3007044016.15248,3436295006.73936,2384930019.22083,343895717.336004,2965050336.9293,2170439717.87969,1536584706.89288,768391335.101395,1787658012.66594,404773072.32966,1499768582.71553
1298908305.39378,1317430152.94357,2998140245.29004,1474322281.74616,1968633876.23094,855988607.41369,1889165861.78913,1204534974.51878,3079116778.64753,3966266971.76039,2992306352.8176,2795330781.07375,1923510828.23906,2394504976.4909,848883967.957253,199118229.670817
2452343402.35252,2581867298.23519,3236918988.23895,1899863428.95504,2133353840.71937,2679816375.11483,2623588783.98549,2374760601.8084,1623896305.18999,1655542544.8949,1248992345.90032,1335147507.13269,1247433123.52385,839403717.125299,1381924468.3757,2138720992.77774
1086997239.02288,548503808.641826,2437844536.14274,1111724303.0878,1130781716.29234,1531606605.41623,2056779985.70367,1349830597.88525,1066087171.20413,1620449999.07981,1162458862.59318,2369760363.89852,1978875864.96618,1884243603.03699,1924121255.53435,730122978.88531
180677184.595881,1204853197.46535,1955572930.66438,1815525285.11639,3115269448.89045,2554391294.56689,2379788686.21707,1684141781.76818,2136286784.23782,1658796742.19376,2399363673.46212,1298038039.42582,839536680.870712,1851319644.93983,850196821.036816,649763279.861617
1352235380.47476,1593000889.99047,2820153285.9082,1218313875.71082,1844471934.16647,1339516418.68096,1653713124.47101,1845215235.61593,2092649692.60874,1646516566.94291,637581581.982483,1257602914.72685,1689712271.85399,2549972044.01747,646361048.300911,1721480046.20584
1541583666.07008,697855600.405464,2533090204.15934,1689621020.22147,1025530497.6392,1279508284.74696,2845378704.75984,3369495073.54081,3034882982.77076,2587471624.28012,2435265659.18946,1741325742.76796,593679819.691643,1962348016.51473,1850739488.64954,1669592086.70293
152332339.366285,216839954.683842,582333432.026278,821284716.177943,216061597.883792,1156119228.74248,1806774837.4602,1296394673.5979,914881574.427742,700514009.158473,1170526864.79845,1530661598.02476,474653506.587229,602112751.612934,220729166.581139,273302656.369249
1578523706.66836,608449758.368223,634350265.543553,390893021.272228,641643102.939426,1298852916.25884,1297723910.42771,1042577161.58071,656993310.075515,728598585.202174,1156315916.61268,1460647793.69709,1886995253.18131,1271079270.57118,2108597426.7898,671656996.596812
1296106252.57349,1453869283.6881,2660612915.84542,2371176231.45945,2615287164.24325,3155406231.0279,1668025377.40891,2732323197.77883,2215884357.72857,1916400856.03033,2016134865.99323,1020942949.82057,669504440.524116,742574593.79742,1177347627.0395,930052968.697717
1793611876.29281,2474037921.62989,2629564202.55029,2327599024.8494,3459548412.30374,2187844736.32357,854076760.597936,1445606374.54996,1657399401.67188,2843086431.56118,2664008564.11848,610612600.219011,1554817525.31223,2833059342.06152,923077458.623425,1763085951.69129
2380871835.45041,2567528805.65309,1592626476.97612,2084371627.63947,921822973.170119,1476822400.58475,913323506.760019,248116353.612311,498693535.017315,274715833.301214,512891624.572313,1404471457.64111,718133921.772371,1694373758.75515,1923510039.52466,1565918026.71834
97454233.0630385,385934793.230627,957100798.153264,887865037.846335,1126172323.76543,760339832.386709,1170272715.18348,884528773.50609,376929656.379104,1374748485.57215,2119225860.93386,2999946397.50354,2043229028.57413,1902524392.90736,919155079.042989,760137532.160922
588791618.251959,251515814.163479,1595229387.20602,844206126.285171,661627996.498937,1913514893.49535,1903010778.4961,353902984.08682,727440476.460917,501194979.980639,905801296.373726,289335277.306447,714854694.678249,660060524.174989,1046473431.33465,624903578.039462
955705136.991688,1273812373.19859,1283799500.89088,260081724.345803,233660777.455767,1238502244.62772,967893514.497171,456112829.939364,1509196500.08046,1286676504.48276,458703171.09139,1169395396.11984,2340441798.5369,2118832820.67945,477779064.312768,1109682579.41181
1449895454.33583,1460038110.03502,892454766.401089,730874795.508752,797758867.903724,1010997339.47586,561733626.505068,1124303745.58826,679968418.043651,1003636104.0873,1419896660.59987,830360913.367154,1473765598.75269,2383409740.28499,1467699380.0005,1598954497.63724
1283797834.70622,207209469.684501,1251794834.81924,662207008.268645,1650763438.30128,2038977045.52495,1772545987.2141,836348014.078866,1323909271.77675,1440964970.83383,814765484.545237,2065934223.80732,2008081170.02838,1418951785.13745,1192058714.3887,957855462.724327
1518379493.70444,1500518067.79074,1365745588.16121,1917439685.43642,1761714011.02341,1981770472.14645,1677450158.49303,1633720932.70178,1827298162.72697,1344583972.5909,1781229069.98483,1840445888.09885,1665814922.81945,2675028025.43536,1601096805.69183,449738486.60383
