PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16
2.61003151535988e-07,1.89156555539269e-06,1.88159918766275e-06,3.6235750005065e-06,6.4373934098404e-07,2.34920141297758e-06,2.42292682266955e-06,5.4540047995701e-07,2.2409949451685e-06,5.4540047995701e-07,2.42292682266955e-06,2.34920141297758e-06,6.4373934098404e-07,3.6235750005065e-06,1.88159918766275e-06,1.89156555539269e-06
3343662075.72246,4621598080.26947,5663369320.28084,6337226049.85366,6699651891.17821,6732004771.91714,6085285108.17063,5657890329.40105,5752685892.13063,4874698137.92799,3877413768.77005,3772362147.97956,4052622646.05384,4576341202.17905,4024310774.01393,3813730671.7313
1592148342.96527,1926287817.45917,1212776311.98178,963629022.330441,1405233235.98314,1716419798.16984,1880380698.20526,1874215034.24648,2357959096.66757,2045491057.38912,2184046545.86,1732263563.77201,1058496314.73779,466153378.707356,752414689.994314,1519313948.34924
41090031.9570105,350110427.977746,1629105549.84967,2459661887.38708,2510287877.02816,3162536351.14964,3322112427.35208,3129620690.13122,3548896429.10021,2959927967.54437,2801088152.71676,2588532955.94772,1741028359.4085,1345762656.98857,892557436.412112,121747134.347311
920852139.145823,315945135.610237,805874958.784711,1346959283.31681,1862073815.1605,2371445047.50119,2390465252.07032,2172844271.66429,2256664576.92161,1593504187.83956,1122445534.76104,513281018.195975,583600810.858485,953871796.889024,1102417785.03897,1399601123.68062
821975420.506251,562094217.38248,636824741.876459,929540127.997179,980005383.156353,1414762503.15319,1739061575.34572,1871433914.98706,1988120148.15364,1655901199.26132,1855769410.89921,1613080897.0503,1318024010.51872,1347130642.71378,1077335855.99707,1034439186.72341
268949112.053735,518371002.600787,532036037.521078,490746802.718307,601439127.513012,830162265.526283,937099735.108756,1077515924.57709,1286642022.29451,1160219666.61957,1232468549.0197,1172942483.44553,866138124.038848,413871752.591724,304277961.463441,49308068.9466452
153604375.85834,489469963.719726,518333390.707434,805886448.733472,602440520.386027,421113172.650151,455480553.078313,955497745.072963,1130969834.47236,1017486382.21535,1444835373.91659,1552177404.40689,1387367453.58616,1279065844.7807,812237154.033412,391905922.508464
267400045.759884,123795991.126353,98314754.8730023,287796967.627139,461291282.671318,628232204.988129,382021657.898038,289161953.33756,532905938.987204,690208614.456927,661883175.343773,620201162.671428,721104645.548636,586224387.653458,497239051.292196,146436962.197901
232173270.591479,551216421.485267,863046064.192512,718757539.621211,683767674.537461,800986980.544383,505142288.285542,625271339.861379,681834964.632749,646921171.336562,587866744.235024,586396825.011413,425188529.507091,555712355.699387,389207475.371509,183184620.656982
